Rank,Model,Accuracy,Precision,Recall,F1 Score,AUC-ROC
1,MobileNetV2 Fine-tuned,0.9505,0.9555,0.9782,0.9667,0.9808
2,Custom CNN,0.7148,0.8859,0.7023,0.7835,0.7735
